street_number,actual_street_name,Suburb,Borough,County,london_region,region,year,tenure_type,leasehold_unexpired_term,value,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
15,SOUTHWOLD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1903,LEASEHOLD,50,300,6.5,38,7.894736842
6,SPRINGFIELD,CLAPTON,Hackney,Greater London,INNER,Greater London,1903,FREEHOLD,999,1200,,80,15
189,BROOKE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,71,455,7,38,11.97368421
2,CHATSWORTH ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,540,,36,15
47,DOWN'S ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,1550,,,
61,DOWN'S ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,1590,,100,15.9
60,ELDERFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,440,,32,13.75
3,GOULTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,900,,60,15
14,GOULTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,900,,65,13.84615385
23,HEYWORTH ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,635,,,
188,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,79,660,7.5,60,11
42,MAYOLA ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,66,330,5,32,10.3125
59,MEDIAN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,505,,34,14.85294118
71,MILDENHALL ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,89,420,5.25,38,11.05263158
41,NIGHTINGALE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,55,350,11,45,7.777777778
74,NIGHTINGALE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,FREEHOLD,999,830,,,
44,PEMBURY ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,37,655,15.5,110,5.954545455
38,PEMBURY ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,38,740,10,,
65,RUSHMORE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,72,340,5.25,30,11.33333333
170,RUSHMORE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,62,275,4.5,36.4,7.554945055
25,THISTLEWAITE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,79,495,6.3,,
58,THISTLEWAITE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,79,505,6.3,,
43,UPPER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1904,LEASEHOLD,58,760,10,,
17,CLIFDEN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,59,275,5,39,7.051282051
141,ELDERFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,73,330,5,42.9,7.692307692
166,GLYN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,FREEHOLD,999,650,,45,14.44444444
11,GOULTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,FREEHOLD,999,680,,50,13.6
29,HILSEA STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,60,355,6.5,38,9.342105263
129,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,57,525,1,50,10.5
71,MEDIAN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,63,330,6,36,9.166666667
47,MOUNT PLEASANT LANE,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,48,275,3.75,36,7.638888889
118,NORTHWOLD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,76,425,6.5,35,12.14285714
45,POWERSCROFT ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,73,395,7,,
6,REIGHTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,73,425,7,48,8.854166667
125,RENDLESHAM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1905,LEASEHOLD,,590,,35,16.85714286
12,BEECHOLME ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,64,200,6.3,41.6,4.807692308
69,BLURTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,FREEHOLD,999,475,,39,12.17948718
52,CHIPPENDALE STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,72,190,5,32.5,5.846153846
126,CLAPTON COMMON,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,64,500,,80,6.25
14,COLLEGE AVENUE,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,58,285,6,,
127a,GLENARM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,73,275,5,53.3,5.159474672
10,LOCKHURST STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,FREEHOLD,999,370,,39,9.487179487
92,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,78,450,15,40,11.25
36,MAYOLA ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,72,360,7,34,10.58823529
19,MEDIAN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,FREEHOLD,999,560,,40,14
25,NARFORD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,74,350,6,34,10.29411765
55,NEWICK ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,83,455,6.5,,
26,PEMBURY ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,,650,4,,
157,POWERSCROFT ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,LEASEHOLD,50,215,5,36.4,5.906593407
127,RENDLESHAM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1906,FREEHOLD,999,525,,38,13.81578947
36,COLENSO ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,76,225,6,39,5.769230769
45,CRICKETFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,50,240,7.35,36,6.666666667
247,EVERING ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,67,580,8,,
225,EVERING ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,67,400,8.5,60,6.666666667
183,GLENARM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,69,255,5,41.6,6.129807692
19,GLENARM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,60,275,6.5,36,7.638888889
22,ICKBURGH ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,74,350,7.5,45,7.777777778
15,KNIGHTLAND ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,95,550,7,46,11.95652174
79,MAYOLA ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,65,240,5,34,7.058823529
40,NEWICK ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,72,420,6.5,45,9.333333333
100a,OVERBURY STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,72,105,10,90,1.166666667
153,POWERSCROFT ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,69,220,5.25,26,8.461538462
76,REIGHTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1907,LEASEHOLD,74,295,6,34,8.676470588
80,BLURTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,LEASEHOLD,71,190,6.3,30,6.333333333
27,CLAPTON COMMON,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,FREEHOLD,999,2075,,110,18.86363636
17,CRAVEN WALK,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,LEASEHOLD,97,330,6.5,35,9.428571429
79,CRICKETFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,FREEHOLD,999,450,,42,10.71428571
221,EVERING ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,LEASEHOLD,64,400,8.5,50,8
55,LOCKHURST STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,LEASEHOLD,67,145,5,32.5,4.461538462
189,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,FREEHOLD,999,900,,85,10.58823529
43,MILDENHALL ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,LEASEHOLD,78,420,6.3,42,10
22,THE COMMON,CLAPTON,Hackney,Greater London,INNER,Greater London,1910,COPYHOLD,999,1250,,,
34,ALMACK ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,610,,350,1.742857143
192,AMHURST ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,47,660,7,,
2,ATHERDEN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,87,210,5.25,,
9,CHARNOCK ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,72,290,5.25,,
17,CRICKETFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,66,360,6.3,30,12
112,DOWNS PARK ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,42,725,8,,
259,EVERING ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,74,750,8,55,13.63636364
271,EVERING ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,76,910,9,,
3,GILPIN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,81,200,5.5,,
25,INVER ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,78,170,5,,
64,KENNINGHALL ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,880,,65,13.53846154
65,KENNINGHALL ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,750,,40,18.75
2,LOCKHURST STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,73,280,5,,
60,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,57,850,12,80,10.625
77,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,55,660,10.5,60,11
115,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,,,80,
132,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,88,405,8.5,,
74,NIGHTINGALE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,870,,,
121,RENDLESHAM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,775,,28,27.67857143
61,THISTLEWAITE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,LEASEHOLD,83,690,7.35,55,12.54545455
91,UPPER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1900,FREEHOLD,999,,,,
197,BROOKE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1908,LEASEHOLD,67,275,6,36,7.638888889
51,CHATSWORTH ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1908,LEASEHOLD,,700,,50,14
176,CHATSWORTH STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1908,FREEHOLD,999,780,,50,15.6
47,CRICKETFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1908,LEASEHOLD,49,300,7.35,36,8.333333333
48,THISTLEWAITE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1908,LEASEHOLD,74,485,6.3,,
4,CROSS ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,FREEHOLD,999,385,,30,12.83333333
27,DOWNS ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,FREEHOLD,999,695,,60,11.58333333
93,DUNLACE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,LEASEHOLD,60,180,5,31.5,5.714285714
57,LOCKHURST STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,LEASEHOLD,68,175,5,31.2,5.608974359
69,LONDON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,LEASEHOLD,50,240,5,32,7.5
18,NEWICK ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,LEASEHOLD,80,420,6.5,45,9.333333333
10,RENDLESHAM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,FREEHOLD,999,325,,30,10.83333333
34,SACH ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,LEASEHOLD,74,265,5.5,36,7.361111111
78,UPPER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,COPYHOLD,,500,,36,13.88888889
80,UPPER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1909,LEASEHOLD,18,60,0,40,1.5
62,BLURTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,62,200,4.5,31.2,6.41025641
60,CRICKETFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,FREEHOLD,999,305,,,
107,DOWNS ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,54,310,8,,
21,GELDSTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,81,205,10,84.5,2.426035503
60,NIGHTINGLE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,61,220,6,32,6.875
76,REIGHTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,70,200,6,,
94,RENDLESHAM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,FREEHOLD,999,345,,55,6.272727273
50,SACH ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,72,300,6,,
7,TRESHAM AVENUE,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,72,150,7.5,,
135,UPPER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,LEASEHOLD,27,620,20,110,5.636363636
58,WALSINGHAM ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1911,FREEHOLD,999,325,,24,13.54166667
33,AVENUE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,FREEHOLD,999,300,,26,11.53846154
227,BROOKE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,60,310,6,42,7.380952381
78,CLIFDEN ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,56,165,5.25,39,4.230769231
37,DOWNS ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,FREEHOLD,999,690,,65,10.61538462
25,ELDERFIELD ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,64,225,5.25,41.6,5.408653846
267,EVERING ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,62,455,8.5,50,9.1
21,GUNTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,80,350,6.5,,
21,MAYOLA ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,65,348,7,35,9.942857143
290,MILLFIELDS ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,FREEHOLD,999,230,,41.6,5.528846154
37,OVERBURY STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,63,128,5,28.6,4.475524476
10,PEMBURY GROVE,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,LEASEHOLD,30,145,5.25,53.3,2.720450281
34,TRESHAM AVENUE,CLAPTON,Hackney,Greater London,INNER,Greater London,1913,FREEHOLD,999,350,,39,8.974358974
1,BLURTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,FREEHOLD,999,240,,26,9.230769231
5,BLURTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,FREEHOLD,999,375,,50.7,7.396449704
8,LEA BRIDGE ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,FREEHOLD,999,410,,30,13.66666667
75,LOWER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,FREEHOLD,999,755,,55,13.72727273
73,MAYOLA ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,LEASEHOLD,58,250,5,32,7.8125
20,POWERSCROFT ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,LEASEHOLD,61,380,10,40,9.5
2,SEWDLEY STREET,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,FREEHOLD,999,330,,44.2,7.466063348
86,UPPER CLAPTON ROAD,CLAPTON,Hackney,Greater London,INNER,Greater London,1914,LEASEHOLD,13,230,0,38,6.052631579
16,GARNAULT PLACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,LEASEHOLD,16,200,10,40,5
17,GRANVILLE SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,LEASEHOLD,31,395,2,45,8.777777778
97,KINGS CROSS ROAD,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,LEASEHOLD,62,400,11,60,6.666666667
10,MOUNT PLEASANT,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,FREEHOLD,999,1135,,,
12,SANS WALK,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,FREEHOLD,999,450,,30,15
46,SPENCER STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,LEASEHOLD,16,90,,,
23,WILMINGTON SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,LEASEHOLD,21,300,1,60,5
45,WILMINGTON SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1895,LEASEHOLD,20,275,10,55,5
11,COLDBATH SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,FREEHOLD,999,440,,26,16.92307692
33,EASTON STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,20,200,20,52,3.846153846
39,EXMOUTH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,20,330,6,60,5.5
32,LLOYD'S ROW,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,34,175,12.5,,
19,MARGARET STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,19,140,7,35,4
52,MARGARET STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,19,165,5,36,4.583333333
20,NOBLE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,21,10,16.6,,
28,PINE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,36,200,,,
13,RED LION STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,FREEHOLD,999,1460,,70,20.85714286
55,ST. JOHN'S STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,FREEHOLD,999,575,,40,14.375
115,ST. JOHN'S STREET ROAD,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,15,225,6.45,48,4.6875
13,SAN'S WALK,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,FREEHOLD,999,545,,28,19.46428571
13,YARDLEY STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1896,LEASEHOLD,20,100,20,40,2.5
10,CHADWELL STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,LEASEHOLD,15,340,10,60,5.666666667
8,CLERKENWELL CLOSE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,FREEHOLD,999,4150,,320,12.96875
31,EXMOUTH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,LEASEHOLD,18,315,6.5,48,6.5625
27,GRANVILLE SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,LEASEHOLD,33,480,3.2,53,9.056603774
36,ST. JOHN'S LANE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,FREEHOLD,999,550,,35,15.71428571
31,TYSOE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,LEASEHOLD,18,150,14,45,3.333333333
52,WHISKIN STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,LEASEHOLD,11,47,,40,1.175
15,WILMINGTON SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1897,LEASEHOLD,19,350,4,60,5.833333333
57,EXMOUTH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,LEASEHOLD,17,375,6.3,56,6.696428571
3,NEWCASTLE PLACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,FREEHOLD,999,1500,,100,15
25,RIVER STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,LEASEHOLD,14,200,4,36,5.555555556
50,ST. HELEN'S PLACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,LEASEHOLD,13,100,3.75,33.8,2.958579882
137,ST. JOHN'S STREET ROAD,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,LEASEHOLD,4,81,14,50,1.62
1,UPPER CHADWELL STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,LEASEHOLD,14,375,1.5,52.5,7.142857143
36,WARNER STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,FREEHOLD,999,1150,,60,19.16666667
46,WARNER STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1898,FREEHOLD,999,510,,40,12.75
14,CHADWELL STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,13,270,3,60,4.5
8,COLDBATH SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,FREEHOLD,999,660,,48,13.75
12,GARNAULT PLACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,12,240,7,48,5
26,GOUGH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,12,30,20,39,0.769230769
18,GREAT PERCY STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,30,385,4,60,6.416666667
72,GREAT PERCY STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,12,205,4,,
12,MEREDITH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,10,75,22,,
97,ROSOMAN STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,16,175,8.5,38,4.605263158
192,ST. JOHN'S STREET ROAD,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,FREEHOLD,999,1900,,85,22.35294118
31,SEKFORDE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,14,210,4.2,40,5.25
4 1/2,WHARTON STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,22,395,10,60,6.583333333
52,WHARTON STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,LEASEHOLD,55,300,8,,
36 1/2,WHITE HORSE ALLEY,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1899,FREEHOLD,999,175,,18.2,9.615384615
10,AMWELL STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1901,LEASEHOLD,11,305,2,60,5.083333333
36,AMWELL STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1901,LEASEHOLD,11,265,7,55,4.818181818
20,CLERKENWELL GREEN,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1901,LEASEHOLD,57,680,5,52,13.07692308
35,LLOYD'S ROW,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1901,LEASEHOLD,29,230,12.5,,
67,MYDDLETON SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1901,LEASEHOLD,11,260,10,60,4.333333333
33,RED LION STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1901,FREEHOLD,999,820,,,
11,ALBEMARLE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,36,900,,100,9
5,ATTNEAVE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,13,230,10,,
36,BOWLING GREEN LANE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,,350,6,10,35
19,CLAREMONT SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,,160,,102.7,1.557935735
46,CLERKENWELL CLOSE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,FREEHOLD,999,645,,40,16.125
7,CUMBERLAND TERRACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,17,430,5.85,60,7.166666667
36,GRANVILLE SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,51,650,9,56,11.60714286
2,HALFORD SQUARE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,16,335,5,56,5.982142857
78,MARGARET STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,13,80,8,30,2.666666667
83,MARGARET STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,13,100,6.3,32,3.125
45,NORTHAMPTON ROAD,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,29,230,8,52,4.423076923
171,ROSEBERY AVENUE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,,225,7,,
4,TYSOE STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,23,28,,60,0.466666667
1,WARDEN'S COURT OR PLACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,FREEHOLD,999,330,,40.3,8.188585608
13,WILMINGTON PLACE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1902,LEASEHOLD,13,75,7,30,2.5
4,GREAT BATH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1903,FREEHOLD,999,600,,28,21.42857143
15,GREAT BATH STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1903,FREEHOLD,999,820,,50,16.4
62,GREAT PERCY STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1903,LEASEHOLD,8,140,4.5,44,3.181818182
35,ST. JOHN'S LANE,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1903,FREEHOLD,999,760,,45,16.88888889
39,WARNER STREET,CLERKENWELL,Islingt,Greater London,INNER,Greater London,1903,FREEHOLD,999,1470,,85,17.29411765
