street_number,actual_street_name,Suburb,Borough,County,london_region,region,year,tenure_type,leasehold_unexpired_term,value,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
55,HIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1901,LEASEHOLD,78,2500,18,175,14.28571429
115,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1901,LEASEHOLD,67,245,5.625,32,7.65625
132,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1901,FREEHOLD,999,725,,60,12.08333333
92,ROSSITER ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1901,LEASEHOLD,72,260,10.5,36,7.222222222
46,RYDE VALE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1901,LEASEHOLD,73,180,9.5,38,4.736842105
12,THE LAWN,BALHAM,Wandswo,Greater London,INNER,Greater London,1901,LEASEHOLD,33,420,,40,10.5
30,CLOUDESDALE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,LEASEHOLD,88,1655,6.5,42,39.40476191
119,FERNLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,LEASEHOLD,72,600,10.5,50,12
2,GRAND PARADE,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,FREEHOLD,999,1560,,80,19.5
222,HIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,LEASEHOLD,33,1030,12,112,9.196428571
5,MARTINDALE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,FREEHOLD,999,330,,0.575,573.9130435
18,NIGHTINGALE SQUARE,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,LEASEHOLD,91,440,7,38,11.57894737
40,NIGHTINGALE LANE,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,COPYHOLD,999,3500,,,
26,OLD PARK AVENUE,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,LEASEHOLD,86,695,10.5,,
67,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,FREEHOLD,999,415,,,
115,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1902,LEASEHOLD,66,320,5.625,32,10
52,CHERITON SQUARE,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,99,410,7,42,9.761904762
14,CULMORE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,60,300,7,42,7.142857143
75,FERNLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,70,300,6.3,38,7.894736842
41,GASKARTH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,88,305,5.75,36,8.472222222
58,ROSSITER ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,71,380,9,45,8.444444444
10,SARSFELD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,83,400,7,38,10.52631579
5,SHIPKA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,75,320,7,34,9.411764706
